6E+17,Shrimp Taco Bites - 16 New Year's Eve Party Appetizers | GleamItUp http://t.co/qqw0Qyndi7,[],"[{""expanded_url"":""http://pinterest.com/pin/282952789064556614/""}]",,,,,,,,
6E+17,Breast Cancer Awareness Pink Cemetery 3 inch Flower Arrangement http://t.co/tr7f3904NI,[],"[{""expanded_url"":""http://pinterest.com/pin/93871973459226385/""}]",,,,,,,,
6E+17,Pfeiffer Arch - California (By Jim Feeler)  #photographyserendipity http://t.co/LvnboQOUYo,"[{""text"":""photographyserendipity""}]","[{""expanded_url"":""http://pinterest.com/pin/499899627363693104/""}]",,,,,,,,
6E+17,http://t.co/u7WXwUDLKK,[],"[{""expanded_url"":""http://pinterest.com/pin/402298179189151404/""}]",,,,,,,,
6E+17,"Tom Hiddleston ... ""Pssst! Looks like this is already onâ€”"" SHUT UP PINTEREST THANK YOU. http://t.co/SlFOKfLnP6",[],"[{""expanded_url"":""http://pinterest.com/pin/255368241347123895/""}]",,,,,,,,
6E+17,RT @avon_valerie: Keep your hands moisturized! Contains Jojoba oil. #avon_valerie http://t.co/iShJo1UK87 http://t.co/IRKWNGX0xk,"[{""text"":""avon_valerie""}]","[{""expanded_url"":""http://vnesnah.avonrepresentative.com""}",,,,,,,,
6E+17,Top 10 Super Bowl Commercials 2015 (NFL Super Bowl XLIX) http://t.co/EAew9vTmjU,[],"[{""expanded_url"":""http://pinterest.com/pin/300756081340963503/""}]",,,,,,,,
6E+17,ATENÃ‡ÃƒO!!! IPHONE 6 TEM UM DEFEITO INCRÃçVEL,,,,,,,,,,
6E+17,Live in each season as it passes; breathe the air,,,,,,,,,,
6E+17,OMG @AMemoryOfADream @UK_MJ RT @ahelicoptermom: Strawberry Margarita Cupcake Recipe  ( http://t.co/r2eaIA4nax,[],"[{""expanded_url"":""http://pinterest.com/pin/119626933829141369/""}]",,,,,,,,
6E+17,RT @avon_valerie: SKIN SO SOFT Original - softens and conditions skin. Now with Jojoba Oil. Experience crisp botanical http://t.co/ZYSBRArwâ€_,[],"[{""expanded_url"":""http://pinterest.com/pin/355925176776424955/""}]",,,,,,,,
6E+17,The Scientific Guide to Pinterest Marketing: How to Create Popular Images for More Pins and Better Conversion http://t.co/Nzf9jyQC4o,[],"[{""expanded_url"":""http://buff.ly/1DllglH""}]",,,,,,,,
6E+17,We pinned a ton of hangover kit ideas on @Pinterest last week! Follow us to see even more: http://t.co/903ZU4A1gI http://t.co/QCfoz3wmoU,[],"[{""expanded_url"":""http://www.pinterest.com/brides""}]",,,,,,,,
6E+17,Waiting... http://t.co/JF5rx0teAF,[],"[{""expanded_url"":""http://pinterest.com/pin/51298883229873445/?s=3&m=twitter""}]",,,,,,,,
6E+17,http://t.co/Ogc2MFt8Q8,[],"[{""expanded_url"":""http://pinterest.com/pin/138133913547083467/""}]",,,,,,,,
6E+17,Platter of LunaCafe Baby Back Ribs with BBQ Glaze http://t.co/zXSHr2bAa7,[],"[{""expanded_url"":""http://pinterest.com/pin/511228995176084705/""}]",,,,,,,,
6E+17,RT @avon_valerie: Avon Skin So Soft Skindisiac #avon_valerie http://t.co/iShJo1UK87 http://t.co/X557HXFiOA,"[{""text"":""avon_valerie""}]","[{""expanded_url"":""http://vnesnah.avonrepresentative.com""}",,,,,,,,
6E+17,Chaveiro Cogumelo Mario Bros - Mari.C http://t.co/w3dZs4b1ho,[],"[{""expanded_url"":""http://pinterest.com/pin/480829697692053094/""}]",,,,,,,,
6E+17,Truth be told... http://t.co/t1m70gRU3r,[],"[{""expanded_url"":""http://pinterest.com/pin/254383078928666660/""}]",,,,,,,,
6E+17,Cotton Fabric,,, Garden Song by Nancy Halvorsen for Benartex," Fast Sh http://t.co/3H6JbuMKaX	[]	[{""expanded_url"":""http://pinterest.com/pin/141019032058367164/""}]",,,,,,
6E+17,22 Ideas to Help Your WordPress Website Look Customized and Professional http://t.co/9sgPGZOm65,[],"[{""expanded_url"":""http://pinterest.com/pin/204773114283490958/""}]",,,,,,,,
6E+17,RT @avon_valerie: Luxurious. Sensual. Pampering. Wrap your body in the seductive scent of warm vanilla blended with ex http://t.co/36ILb1Jtâ€_,[],"[{""expanded_url"":""http://pinterest.com/pin/355925176776425009/""}]",,,,,,,,
6E+17,Tibetan Mala Yak Bone Prayer Beads Necklace with Turquoise,,,,,,,,,,
6E+17,Makas iyice aÃ§Ä±ldÄ±! http://t.co/76fyhQXW1h,[],"[{""expanded_url"":""http://pinterest.com/pin/299489443945964937/""}]",,,,,,,,
